OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
SWAA2024040957447,2/28/2024 0:00:00,4/9/2024 17:53:57,SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,8307K,BOEING,7378H4,36987,39033.0,18128.0,,,,,,,,,,,BOEING,WEB,UNKNOWN,,CRACKED,BS 344-360 RBL33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CRACK WEB LOCATED BTW BS344 TO BS 360 RBL33 FWD GALLEY AND LAV. REPLACED WEB IAW SRM 51-40-02-0G-0, SRM 51-10-02-0G-0, ITEM 9, AND DWG D141A5400 SHEET 33 REV -."
AALA202402144223,2/5/2024 0:00:00,2/14/2024 9:39:51,AALA,AALA,A,SW,23,A,5320,O,,,K,,,,IN,V,303RE,BOEING,737823,44447,12558.0,4713.0,,,,,,,,,,,BOEING,TRANSITION PANEL,UNKNOWN,,CORRODED,BS 727G-727H,,,,,,,,,,,,,,,727G,727H,25,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON AFT CARGO COMPARTMENT TRANSITION PANEL FROM BS 727G TO BS 727H, S25L. BLENDED CORROSION PER SRM 51-10-02-0G."
AALA202402264884,2/23/2024 0:00:00,2/26/2024 15:24:56,AALA,AALA,A,SW,21,A,5250,O,,,O,,,,NR,9,993NN,BOEING,737823,33340,22415.0,9319.0,,,,,,,,,,,,DOOR,UNKNOWN,,LOCKED,LAVATORY D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: LAVATORY-D DOOR WILL NOT OPEN. UNLOCKED DOOR AS REQUIRED.
SWAA2024022652303,2/14/2024 0:00:00,2/26/2024 17:00:14,SWAA,SWAA,A,SW,29,A,2520,W,,,K,,,,IN,9,8625A,BOEING,7378H4,36896,33454.0,15850.0,,,,,,,,,,,,LATCH,UNKNOWN,,WRONG PART,TRAY TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PASSENGER SEAT ASSY 14DEF HAS THREE INCORRECT NON EXIT ROW FOODTRAY LATCHES INSTALL.<[01] REMOVED AND REPLACED TRAY TABLE LATCHES IAW CMM 25-22-46.;[02] C/W INSPECTION.
AALA202402287617,2/19/2024 0:00:00,2/28/2024 10:53:37,AALA,AALA,A,SW,21,A,2842,F,J,,O,,,,NR,O,957NN,BOEING,737823,31202,27855.0,11341.0,,,,,,,,,,,SIMMONDS,PROBE,202000104,,FAULTY,RT FUEL TANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: FUEL IMBALANCE. REPLACED RIGHT WING TANK FUEL COMPENSATOR (AALA202402206078) AND 7 FUEL PROBES (AALA202402287617, AALA202402287952, AALA202402281578, AALA202402288867, AALA202402282995, AALA202402288523, AALA202402288382) PER AMM 28-41-21. ACCOMPLISHED SATISFACTORY OPERATIONAL AND LEAK CHECKS.**(CLOSED)."
AALA202402207153,2/14/2024 0:00:00,2/20/2024 15:07:10,AALA,AALA,A,SW,23,A,2560,O,,,K,,,,NR,V,920NN,BOEING,737823,31165,32565.0,13955.0,,,,,,,,,,,,TUBE,30VG0750RG2,,MISSING,GIRT BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: RED TAB MISSING FROM DOOR L2 GIRT BAR.**SUPPLEMENTAL REPORT WILL FOR (AALA202402157153): REPLACED HEAT SHRINK TUBING FOR L2 DOOR GIRT BAR. PER AARD 25-66-00-4.**(CLOSED).
AALA202406106376,2/24/2024 0:00:00,6/10/2024 9:36:32,AALA,AALA,A,SW,21,A,5313,O,,,K,,,,IN,V,889NN,BOEING,737823,33314,34700.0,14847.0,,,,,,,,,,,BOEING,STRINGER,146A32374,,CORRODED,BS 747-767 S27R,,,,,,,,,,,,,,,747,767,27,R,,,,,,,,,,,,,,,2.0,,AIRCRAFT IN BASE MAINTENANCE: CORROSION ON STRINGER S27R BETWEEN STA 747 AND STA 767. REPLACED STRINGER PER EA 353348 AND AARD 51-00-0501.
CALA2024022900598,2/20/2024 0:00:00,2/29/2024 6:57:49,CALA,CALA,A,GL,33,A,5230,O,,,K,,,,IN,O,17264,BOEING,7378,66596,7907.0,2823.0,,,,,,,,,,,BOEING,SKIN,146A6110,,DENTED,AFT CARGO DOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REPLACE AFT CARGO DOOR SKIN(REF AAR NR 100000492) REMOVED, FABRICATED AND REPLACED AFT CARGO DOOR SKIN IAW B737-8M AX SRM 52-30-01-2R-3 (WORK ACCOMPLISHED BY V938215 AND AAR QC V9 35067)"
CALA2024022900597,2/27/2024 0:00:00,2/29/2024 6:57:49,CALA,CALA,A,GL,33,A,2150,M,,,D,,,,TX,O,33262,BOEING,737824,32402,71015.0,24856.0,,,,,,,,,,,HNYWL,CHECK VALVE,58489992,,MISSING,LH PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LEFT PACK LIGHT IS ON WITHOUT MASTER CAUTION RECALL ACCOMPLISHED BITE OF PACK TEMP CONTROLLERS REF FIM 21-62 TASK 801. LEFT TEMP CONTROLLER FAULTING TCV. FOUND FAN BYPASS CHECK VALVE DOOR MISSING. REF FIM 21-53 TASK 820 FOUND BYPASS CHECK VALVE DOOR MISSING. REF LOG 7197306 FOR PDA LOGPAGE. ADDED MFG DDP C/W PER MEL. REMOVED AND REPLACED DIFFUSER ASSY PER AMM 21-51-03-400-804-002. OPS CHECK GOOD, NO LEAKS NO RECALL LIGHTS NOTED. ENSURE DISPATCH DEVIATION PROCEDURE IS REVERED BEFORE RETURNING THE AIRCRAFT TO SERVICE. PERFORMED PACK TEMPERATURE CONTROL - BITE PROCEDURE IAW FIM 21-62-801. NO FAULTS NOTED."
SWAA2024022050214,2/8/2024 0:00:00,2/20/2024 16:07:08,SWAA,SWAA,A,SW,29,A,3350,O,,,K,,,,IN,9,8662F,BOEING,7378H4,36936,30178.0,14444.0,,,,,,,,,,,,BATTERY PACK,FOUNDMAINDECK,,INOPERATIVE,EMERGENCY LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RH OVERWING EXIT EMERGENCY EXIT SIGN LIGHTS INOP<[01] R&R BATTERY PACK AND CHARGER ASSY FOR POWER SUPPLY M1695 IAW AMM 33-51-06. OPS CHECK GOOD IAW AMM 33-51-06.;[02] PARTS UPDATE;[03] INSPECTION C/W
SWAA2024022053097,2/17/2024 0:00:00,2/20/2024 16:07:08,SWAA,SWAA,A,SW,29,A,5743,O,,,K,,,,IN,9,8648A,BOEING,7378H4,42531,32311.0,15434.0,,,,,,,,,,,,BUSHING,UNKNOWN,,MISSING,RT MLG TRUNNION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CADMIUM PLATING MISSING ON ALL R/H MLG FWD TRUNNION FITTING BUSHINGS<[01] REMOVED AND REPLACED ALL 4 R/H MLG FWD. TRUNNION FITTING BUSHINGS PER. AMM REF. 20-10-02 AND EA. 1-A57-3246 REV.16.
DALA2024022102407,2/18/2024 0:00:00,2/21/2024 14:09:13,DALA,DALA,A,SO,27,A,5320,O,,,K,,,,IN,O,387DA,BOEING,737832,30374,73462.0,29504.0,,,,,,,,,,,BOEING,TRANSITION PANEL,UNKNOWN,,CORRODED,BS 727F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,(LOG 0207253) AFT CARGO RH TRANSITION FS 727F+10 - 767 CORRODED AND PUNCTURED AT FA 727H. REMOVED AND REPLACED AFT CARGO TRANSITION PANEL STA 727F+10 -767 IAW BOEING 737-800 SRM 51-40-02.
AALA202402219869,2/20/2024 0:00:00,2/21/2024 15:34:58,AALA,AALA,A,SW,21,A,3241,J,,,K,,,,NR,V,940NN,BOEING,737823,33323,30193.0,12130.0,,,,,,,,,,,,SHUTOFF VALVE,UNKNOWN,,INOPERATIVE,ANTI SKID SYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT WAS GROUNDED: ANTI SKID INOPERATIVE AND PARKING BRAKE LIGHT ARE ILLUMINATED, RUN CHECKLIST IT DID NOT FIX ISSUE. REMOVED AND REPLACED PARKING BRAKE SHUT OFF VALVE. OPERATIONAL CHECK GOOD. PER B737 AMM 32-44-21."
AALA202403014315,2/13/2024 0:00:00,3/1/2024 12:03:06,AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,887NN,BOEING,737823,31141,35366.0,14964.0,,,,,,,,,,,BOEING,WEB,147A5712U34,,CORRODED,BS 1011-1014,,,,,,,,,,,,,,,1011,1014,,,,,,,,,37,R,,,,,,,2.0,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON AFT GALLEY FLOOR STRUCTURE WEB FROM BS 1011 TO BS 1014, RBL 37. REPLACED WEB PER AARD 51-00-05-1."
AALA202403014710,2/28/2024 0:00:00,3/1/2024 14:38:32,AALA,AALA,A,SW,21,A,5330,O,,,K,,,,IN,V,940AN,BOEING,737823,30598,67682.0,28358.0,,,,,,,,,,,,SKIN,UNKNOWN,,CORRODED,EXHAUST PORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT IN BASE MAINTENANCE: TOILET EXHAUST PORT SHOWING CORROSION. PERFORMED REPAIR AND REPAINTED TOILET EXHAUST PORT. PER AARD 53-70-00.
AALA202403047704,2/29/2024 0:00:00,3/4/2024 14:42:03,AALA,AALA,A,SW,21,A,3350,O,,,K,,,,IN,C,955NN,BOEING,737823,31199,27577.0,11237.0,,,,,,,,,,,,LIGHT,UNKNOWN,,INOPERATIVE,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: EMERGENCY ESCAPE SLIDE, AFT ENTRY AND GALLEY DOOR LIGHT ON LEFT SIDE INOPERATIVE. REMOVED AND REPLACED EMERGENCY ESCAPE SLIDE, AFT ENTRY (AALA202403040313) AND GALLEY DOOR (AALA202403047704) LIGHT BULB AND PERFORMED SATISFACTORY CHECK. PER B737NG-AMM 33-51-04"
SWAA2024040155245,2/23/2024 0:00:00,4/1/2024 16:22:16,SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,8314L,BOEING,7378H4,36990,38013.0,17726.0,,,,,,,,,,,BOEING,ANGLE,UNKNOWN,,CRACKED,BS 500H S26R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRACK ANGLE - CLIP LOCATED BS500H AT LEVEL STR26R FWD CARGO COMPARTMENT 2024-145742<[01] REPLACED ANGLE - CLIP LOCATED BS 500H AT LEVEL STR26R FWD CARGO COMPARTMENT I.A.W. B737-800 SRM 51-10-02 ITEM 9 AND DWG: 143A7505; REV: -. SEE INDIVIDUAL SING-OFF BELOW;[02] REPLACED ANGLE - CLIP LOCATED BS 500H AT LEVEL STR26R FWD CARGO COMPARTMENT I.A.W. B737-800 SRM 51-10-02 ITEM 9 AND DWG: 143A7505; REV: -. SEE INDIVIDUAL SING-OFF BELOW
SWAA2024020648400,2/3/2024 0:00:00,2/6/2024 15:57:45,SWAA,SWAA,A,SW,29,A,2560,O,,,K,,,,TX,9,8677A,BOEING,7378H4,36650,27174.0,13090.0,,,,,,,,,,,,GIRT BAR,UNKNOWN,,OUT OF ADJUST,AFT PAX DOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIRTBAR ON AFT (CAPTS SIDE) SERVICE DOOR DIFFICULT TO ARM<[01] REMOVED DEBRIS FROM AFT ENTRY DOOR GIRT BAR LATCHES PER SIP
SWAA2024020850170,2/8/2024 0:00:00,2/8/2024 16:21:32,SWAA,SWAA,A,SW,29,A,3350,L,,,K,,,,IN,C,8730Q,BOEING,7378,37042,10016.0,4888.0,,,,,,,,,,,,BATTERY PACK,UNKNOWN,,INOPERATIVE,EMERGENCY LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1 DOOR EMERGENCY LIGHTS INOP<[01] REMOVED AND REPLACED L1 DOOR EMERGENCY LIGHTS POWER SUPPLY BATTERY PACK . TEST OK. REF AMM. 33-51-06. -END-
SWAA2024031254688,2/22/2024 0:00:00,3/12/2024 16:24:24,SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,8683D,BOEING,7378H4,36738,26980.0,13191.0,,,,,,,,,,,,PLATE,UNKNOWN,,CORRODED,ZN 100 FUS LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFT CARGO COMPARTMENT RH SIDEPLATE HAS CORROSION ON AND AROUND FASTENER HOLES STA-727I-727J RBL21<[01] REMOVED SURFACE CORROSION IN AFT CARGO COMPARTMENT RH SIDEPLATE STA-727I-727J RBL21 PER SRM 51-10-02; FOUND TO BE OUT OF LIMITS. MATERIAL REMOVED 0.005 AND REMAINING THICKNESS 0.035 PER SRM 53-00-53-1A-2. R/H SIDEPLATE TO BE REPLACED ON NON-ROUTINE TTG8Q00RQ53Y.;[02] RII-C/W INSPECTION AS REQUIRED
SWAA2024031355228,2/23/2024 0:00:00,3/13/2024 16:29:18,SWAA,SWAA,A,SW,29,A,5313,O,,,K,,,,IN,9,8683D,BOEING,7378H4,36738,26980.0,13191.0,,,,,,,,,,,BOEING,STRINGER,NOTREPORTED,,CRACKED,BS 500I S25R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWD CARGO; STINGER CLIP CRACKED AT STA 500I STR 25R.<[01] REMOVED AND REPLACED PER SRM. 51-40-02;[02] C/W INSPECTION. 01 - REMOVED AND REPLACED PER [SRM 51-40-02-0G-0-B00069 (GENERAL - FASTENER INSTALLATION AND REMOVAL - AIRFRAME - PERMANENT)]
CALA2024021400419,2/6/2024 0:00:00,2/14/2024 5:08:59,CALA,CALA,A,GL,33,A,2721,O,,,O,,,,UK,O,47280,BOEING,7378,64614,3391.0,1242.0,,,,,,,,,,,BOEING,RUDDER PEDAL,141A79018,,TIGHT,NOSE WHEEL WELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUDDER PEDALS WERE LOCKED OUT IN NEUTRAL POSITION SPOKE TO CREW AND CONFIRMED BOTH PILOTS AND F/O SIDE RUDDER PEDALS WERE VERY HHRD TO MOVE AND THEY NEEDED TO APPLY ALOT OF FORCE TO FREE UP PEDALS. REMOVED LEFT NOSE WHEEL WELL CEILING PANEL ASSEMBLY # 14A7901-7 FOR INSPECTION ASSEMBLY # 141A790-7. REMOVED RIGHT NOSE WHEEL WELL CEILING PANEL ASSEMBLY # 141A7901-8 FOR INSPECTION PERFORMED RUDDER PEDAL DO NOT MOVE FREELY (CAPTAINS) FAULT ISOLATION FIM TASK 27-21 TASK 813 : STEPS (D1-D3) UP TO STEP (D4) AS PER FIM TASK 27-21 TASK 813 COMPLETED STEP (D-4). STEP (D-5) TO COMPLETION REQUIRED. COMPLIED WITH VISUAL INSPECTION OF RUDDER AFT QUADRANT AS PER FIM TASK 27-21 TASK 813 STEP (D-4) NO DISCREPANCIES NOTED. LEAK CK''S GOOD PER MM 53-14-01.
AALA202402149291,2/13/2024 0:00:00,2/14/2024 14:37:49,AALA,AALA,A,SW,23,A,3350,O,,,K,,,,NR,O,930AN,BOEING,737823,29529,63994.0,26783.0,,,,,,,,,,,,LIGHT,,,DETACHED,SEAT 29C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS NOT GROUNDED: EMERGENCY TRACK LIGHT ON SEAT 29C IS DETACHED. REATTACHED EMERGENCY TRACK LIGHT ON SEAT 29C. PER CMM 25-23-67.
SWAA2024031557167,2/28/2024 0:00:00,3/15/2024 14:48:21,SWAA,SWAA,A,SW,29,A,5753,O,,,K,,,,IN,9,8624J,BOEING,7378H4,37004,33586.0,16043.0,,,,,,,,,,,BOEING,SKIN,NOTREPORTED,,DELAMINATED,LT WING TE FLAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LH WING O/B TRAILING EDGE FLAP UPPER SURFACE DELAMINATED APPROXIMATELY 6.5' X 4.0' LOCATED AT 1.5' FROM I/B END AND 1.5' FROM TRAILING EDGE. T/E AFT FLAP (LH OTBD) (PN: 113A3700-25 SN: S1401-10)<[01] REMOVED L/H WING O/B AFT FLAP PER AMM 27-51-22.;[02] INSTALLED L/H WING O/B AFT FLAP PER AMM 27-51-22.;[03] VERIFIED INSTALLED L/H WING O/B AFT FLAP PER AMM 27-51-22. RII;[04] SIGNED FOR MEASUREMENTS;[05] 02 - INSPECTED PER [AMM 27-51-22-401-NG (OUTBOARD AFT FLAP - REMOVAL/INSTALLATION - PERMANENT)]
SWAA2024022355272,2/23/2024 0:00:00,2/23/2024 17:11:11,SWAA,SWAA,A,SW,29,A,3350,O,,,K,,,,IN,9,8651A,BOEING,7378H4,36920,32016.0,15347.0,,,,,,,,,,,,POWER SUPPLY,UNKNOWN,,INOPERATIVE,EMERGENCY LIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1 DOOR AND AFT OVERWING EMERGENCY EXIT LIGHTS NOT WORKING<[01] R&R POWER SUPPLY & BATTERY PACK IAW AMM 33-51-06
AALA202402151112,2/14/2024 0:00:00,2/15/2024 12:31:45,AALA,AALA,A,SW,23,A,3213,O,,,K,,,,IN,V,991AN,BOEING,737823,30920,43657.0,18246.0,,,,,,,,,,,,AXLE,UNKNOWN,,CRACKED,NR 1 WHEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIRCRAFT WAS GROUNDED: NUMBER 1 MAIN WHEEL AXLE BETWEEN THE AXLE AND THE INNER CYLINDER HAS SEVERAL CRACKS.**SUPPLEMENTAL REPORT WILL BE SUBMITTED**(OPEN).
AALA202402151692,2/8/2024 0:00:00,2/15/2024 13:09:05,AALA,AALA,A,SW,23,A,5310,O,,,K,,,,IN,E,935AN,BOEING,737823,30081,63727.0,26850.0,,,,,,,,,,,BOEING,PRESSURE DECK,UNKNOWN,,CORRODED,BS 663.75,,,,,,,,,,,,,,,663.75,,,,,,,,,,24.92,L,31.83,L,,,,,,,"AIRCRAFT IN BASE MAINTENANCE: CORROSION ON WING CENTER SECTION REAR SPAR VERTICAL PRESSURE DECK WEB AT BS 663.75, FROM LBL 24.92 TO LBL 31.83. REPAIRED WEB PER SRM 57-10-10-2R-3 ALTERNATIVE 3."
SWAA2024021551847,2/13/2024 0:00:00,2/15/2024 15:23:44,SWAA,SWAA,A,SW,29,A,2560,L,,,K,,,,IN,C,8762Q,BOEING,7378,67216,5506.0,2803.0,,,,,,,,,,,,FLASHLIGHT,UNKNOWN,,NO TEST,ZN 200 FUS TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLIGHT DECK EMERGENCY FLASHLIGHT TEST RED<[01] REPLACED FLIGHT DECK EMERGENCY FLASHLIGHT BATTERY REF AMM 25-64-00 TEST OK
